original_sentence	result_sentence	style_prompt
Resistance training has been shown to have a profound impact on cognitive function.	Resistance training hath a profound impact on the mind.	Please change the sentence by using a priest's style.
The newly revamped infrastructure features a dual-lane vehicular thoroughfare, a segregated bike path, and a spacious pedestrian promenade along the waterfront.	The newly upgraded/refurbished infrastructure comprises a dual-lane vehicular artery, a dedicated cycle lane, and a commodious pedestrian boulevard.	Please change the sentence by using a formal tone.
I will formulate a concrete, incremental plan.	I shall develop a comprehensive plan.	Please change the sentence by using a formal tone.
The principal balance exhibits a significant/notable decrease of approximately $1,400 between 2019 and 2020.	The main idea is that the principal balance decreased by $1,400 from 2019 to 2020.	Please change the sentence by using a kindergarten teacher's style.
The inaugural panel discussion will centre on LGBTQA+ concerns in educational settings, expertly facilitated by Professor Yeargain, a renowned scholar and chair of Widener Law Commonwealth's faculty.	The inaugural panel discussion will focus on LGBTQA+ concerns in educational settings, expertly moderated by Professor Yeargain, a distinguished scholar and chair of Widener Law Commonwealth's faculty.	Please change the sentence by using a formal tone.
Youth-oriented networks are facing significant challenges and competition from newer players.	Significant difficulties and intense rivalry are besetting youth-oriented networks, as newer entities emerge to challenge their dominance.	Please change the sentence by using a serious tone.
Individuals pursued alternative avenues despite apparent limitations.	Despite apparent limitations, individuals found ways to pursue alternative options.	Please change the sentence by using a policeman's style.
It's prudent to assume that the batter might overflow, so as a precautionary measure, it's advisable to position the baking dish on a baking sheet to mitigate any potential mess, particularly when working with recipes of this nature.	When baking, it's always a good idea to be prepared for the batter to overflow.	Please change the sentence by using a mother's style.
In the K-12 educational context, the experience of a trans student is akin to being subjected to a plethora of bullying and harassment, not only from their peers, but also from the student and their family, who subsequently report these incidents to the school district.	In the bleak and unforgiving K-12 educational environment, the experience of a trans student is a never-ending nightmare of bullying and harassment.	Please change the sentence by using a pessimistic tone.
As we venture beyond our terrestrial bounds, we also find ourselves re-examining our place within the Earth's ecosystem.	As we transcend our planetary limitations, we are compelled to reassess our role within the Earth's ecological framework.	Please change the sentence by using a authoritative tone.
It's clear that this factor has a substantial effect on the entire situation.	It's pretty obvious that this factor has a huge impact on the whole situation.	Please change the sentence by using a informal tone.
I retained an heirloom tomato from a past interval, its lingering presence a testament to the fleeting nature of culinary delights.	I kept a leftover heirloom tomato from a previous dinner, and its lingering flavor is a reminder that good food is only temporary.	Please change the sentence by using a informal tone.
If the outcome is unfavorable, then all subsequent interactions will necessitate a reevaluation of our communication dynamics.	In the event of an unfavorable outcome, it is imperative that we reassess our communication protocols to ensure optimal interaction and collaboration.	Please change the sentence by using a formal tone.
The PC iteration of the game, they also observed that each task presented offers a tangible and pedagogically valuable objective, and that the game prioritizes collaborative effort and mutual support, which aligns with the brand's overarching mission.	When playing the game, they found that each task presented a clear and teachable goal, and that the game values teamwork and mutual aid, just as the brand's overall mission does.	Please change the sentence by using a proverb style.
Loneliness has a profound impact on brain morphology, specifically in terms of the development of Alzheimer's disease.	The pangs of loneliness have a profound influence on the brain, potentially leading to Alzheimer's disease.	Please change the sentence by using a priest's style.
We're streamlining the process of transitioning your data warehouses to BigQuery on Google Cloud, focusing on the overall experience and ecosystem.	We're struggling to migrate data warehouses to BigQuery on Google Cloud due to bureaucratic red tape and complexity.	Please change the sentence by using a pessimistic tone.
The efficacy of the situation arose from the intricate web of familial relationships and power structures within the clan.	It's all about family ties and power dynamics.	Please change the sentence by using Kevin Hart's style.
The notion that our beliefs are often driven by emotional and existential needs rather than rational inquiry is a pervasive and profound aspect of human nature.	Our deepest convictions are often rooted in emotional and existential cravings rather than a genuine pursuit of truth.	Please change the sentence by using a diary style.
In essence, prevailing opinions are shaped by silencing those who refuse to conform.	Most people's opinions are influenced by suppressing dissenting voices.	Please change the sentence by using a father's style.
The narrative of immigrant experiences cannot be reduced to a single, essentialized identity.	Their stories are a tapestry of threads, each one weaving together to form a narrative that defies simplification.	Please change the sentence by using a diary style.
Amalfi's aesthetic appeal is indeed undeniable.	Amalfi's aesthetic appeal is so undeniable, you'll abandon all sense of reason and responsibility.	Please change the sentence by using a humorous tone.
Furthermore, the second initiative aimed to provide free educational instruction to disadvantaged children in existing church schools and community-based educational institutions.	The second endeavour aimed to provide free education to disadvantaged younglings.	"Please change the sentence by using ""old English"" tone."
This morning, we'll explore how he simplified the process, making it easier to adapt to a modern, cloud-based system.	A smooth sail is made by breaking the waves, and so, this morning, we'll chart the course of how he streamlined the process, making it a breeze to adapt to the modern, cloud-based system.	Please change the sentence by using a proverb style.
As a scholar-activist, I'm deeply invested in this endeavour, and I feel privileged to be contributing to its significance.	This endeavour is deeply invested in and contributes to its own significance.	Please change the sentence by using passive voice.
A comprehensive examination of avifaunal populations is currently underway.	A thorough investigation into the avifaunal population dynamics is presently being conducted.	Please change the sentence by using a formal tone.
The notion that science and art are mutually exclusive is challenged by this instance.	The notion that science and art are inherently incompatible is vigorously disputed by this exemplar.	Please change the sentence by using a serious tone.
Upon arrival, initial enthusiasm for social distancing quickly faded.	The fervour of social distancing didst swiftly wane when arrival was made.	"Please change the sentence by using ""middle English"" tone."
I'll endeavour to keep my remarks concise, thereby allowing for a timely transition to questions.	I shall strive to keep mine utterances brief, that ye may quickly proceed to inquiry.	"Please change the sentence by using ""middle English"" tone."
It's essential to acknowledge the motivations and experiences of the individuals who are directly involved in the work, rather than solely focusing on the groups that ostensibly represent them.	It is essential to acknowledge the motivations and experiences of individuals directly involved in the work.	Please change the sentence by using passive voice.
One can proactively engage in self-advocacy by researching relevant resources prior to committing to a significant decision.	One can empower themselves by researching relevant resources beforehand, paving the way for a confident and informed decision-making experience!	Please change the sentence by using a optimistic tone.
Safiya's corpus of content warrants the designation of chef.	Safiya's got the skills, she's basically a chef!	Please change the sentence by using a informal tone.
Classical physics posits that, given the initial conditions, it's theoretically possible to retrodict the universe's state at any point in time.	Classical physics says that if you know the starting point, you can figure out the past.	Please change the sentence by using a grandfather's style.
It's evident from these analyses that our model effectively captures the distinctive morphological features characteristic of these floral species.	The model aptly grasps the morphological properties/trraits of these floral/flower-bearing species.	"Please change the sentence by using ""early modern English"" tone."
I hypothesize that the individual in question likely intended to precipitate a catastrophic outcome, thereby terminating their professional trajectory and severing ties with the NASCAR community.	The individual in question was hypothesized to have likely intended to precipitate a catastrophic outcome, thereby terminating their professional trajectory and severing ties with the NASCAR community.	Please change the sentence by using passive voice.
Scientific space exploration took off in the 1950s, experiencing exponential growth until the 1970s, when momentum plateaued and interest began to wane.	Space exploration's party fizzled out in the 1970s.	Please change the sentence by using a humorous tone.
By strategically allocating resources and making informed decisions, it's possible to mitigate the financial burden and alleviate stress.	Through targeted resource optimization and data-driven decision-making, we can effectively minimize financial burdens and reduce overall stress.	Please change the sentence by using a businessman's style.
I advocate for streamlining our platform's interface to facilitate a seamless user experience, thereby enabling effortless navigation and utilization.	I think we should simplify our platform's interface to make it easy to use and navigate.	Please change the sentence by using a informal tone.
Actually, I'm thrilled to have secured that example and to discuss your research, as well as some of the milestones and challenges you've faced.	I am delighted to have acquired that exemplary instance and discuss your research, including its achievements and challenges.	Please change the sentence by using a professor's style.
In order to maximize one's chances of admission to a reputable institution, it is advisable to strategically include a few select schools with relatively high acceptance rates on one's list.	The key is to maintain a balanced approach to college applications.	Please change the sentence by using a humorous tone.
Perry candidly discussed his prolonged struggle with addiction.	Perry got real with us about his struggles.	Please change the sentence by using Steve Harvey's style.
Bonds and debt securities can be issued by a wide range of entities.	Hwæt! 'Tis writ that bonds and debt securities may be issued by a wide range of entities.	"Please change the sentence by using ""old English"" tone."
This policy embodies a paradigmatic shift in our approach to speech, prompting a reevaluation of our understanding of its impact on individuals and collectives.	It's a seismic shift in our way of thinking about how we communicate, and it's making me question everything I thought I knew about how our words affect people and communities.	Please change the sentence by using a diary style.
The Deployment Manager is concurrently executing tasks related to SAP HANA setup and configuration.	The Deployment Manager is setting up and configuring SAP HANA.	Please change the sentence by using a son's style.
The layout would emanate from the royal tomb, much like...	The most common theme is the absurdity of elevating a mundane concept to an extraordinary level.	Please change the sentence by using Conan O'Brien's style.
A campaign launched against India, only to find exhausted generals and troops.	A big adventure started against India, but oh no! The generals and soldiers were too tired to continue.	Please change the sentence by using a kindergarten teacher's style.
They possess the autonomy to execute their responsibilities, which enables them to excel in their profession, but paradoxically leads to unfavorable reactions in any social context.	They have the freedom to perform their duties, which empowers them to deliver exceptional results, yet ironically, this autonomy can sometimes lead to unintended consequences in social settings.	Please change the sentence by using a businessman's style.
I think that intellectual property laws need to be adapted to the changing digital environment.	The intellectual property laws require revision to adapt to the changing digital landscape.	"Please change the sentence by using ""early modern English"" tone."
President Biden is slated to deliver a poignant keynote address tonight.	OMG, a prominent figure is going to give a super emotional speech tonight!!	Please change the sentence by using a daughter's style.
To tackle a concrete issue, I'm aiming to optimize a scheduling task and align it with the hardware capabilities, where minimizing the physical system's energy is equivalent to minimizing the cost function of the classical problem.	Optimizing scheduling tasks to align with hardware capabilities, while minimizing energy consumption and cost function.	Please change the sentence by using a policeman's style.
The numerical variables are contingent upon geographical location, institutional type, and the specific configuration of public, private, or for-profit educational frameworks.	The numbers are connected to where we live, what kind of school we go to, and whether our school is public or private.	Please change the sentence by using a kindergarten teacher's style.
Accumulating data in such environments proved to be a costly and laborious endeavour, requiring significant resources and effort.	Verily, gathering data in such locales proved to be a costly and toilsome endeavour.	"Please change the sentence by using ""early modern English"" tone."
It is imperative that the materials be crafted to ensure a third-grade reading proficiency, thereby facilitating comprehension for individuals entering the judicial system.	I believe it's crucial that materials are created with a third-grade reading level in mind, so that everyone can easily understand.	Please change the sentence by using a diary style.
If we fail to adapt, our species will cease to exist.	If we fail to adapt, we'll be extinct and our collective cultural heritage will be lost forever!	Please change the sentence by using a humorous tone.
The 2017 tax cuts, signed into law by the president, precipitated the opportunities being referenced, and the president's initiatives aimed to direct resources towards our most vulnerable communities, marking a pivotal moment.	The president's initiatives were designed to put resources where they matter most, in our most vulnerable communities, marking a turning point in our nation's history.	Please change the sentence by using Joe Biden's style.
I shall refrain from elaborating extensively, as I intend to dedicate a forthcoming video to a comprehensive examination...	I've got a whole 'nother video coming where I'll dive deep into all the juicy details.	Please change the sentence by using Ellen DeGeneres's style.
Despite the influence of police unions, he is taking steps to improve accountability and identify misconduct.	Despite the efforts of the police unions, he is committed to ensuring accountability and transparency.	Please change the sentence by using a grandmother's style.
The court's findings indicate a lack of financial resources.	The court's findings are unequivocal: our organization's financial resources are woefully inadequate, necessitating immediate action.	Please change the sentence by using a persuasive tone.
This pad, as it happens, is a single-use wet pad, and the robot has been programmed to recognize and differentiate between various types of pads, including this one.	This pad, it is worth noting, is a single-use wet pad, and the robot has been programmed to recognize and differentiate between various types of pads, including this specific type.	Please change the sentence by using a formal tone.
In Utah, some of you may be wondering what this has to do with Utah.	Hey, Utahns, you're probably thinking, what's the deal with Utah?	Please change the sentence by using a informal tone.
Across the 21 states/jurisdictions, a noticeable uptick in case numbers/incidence has been observed over the past week/seven-day period.	Across all 21 states and places/whatnot, I've noticed a significant increase in sick people/case numbers over the past week, dearie.	Please change the sentence by using a grandmother's style.
The model's predictive accuracy appears to be most significantly impacted by the distance and maximum temperature variables.	The key performance indicator for our predictive model reveals that the distance and maximum temperature variables have the most substantial influence on its accuracy.	Please change the sentence by using a businessman's style.
It's undeniable that the campaigns played a pivotal role in mobilizing influential stakeholders to take action.	It's a total no-brainer that the campaigns were extremely effective.	Please change the sentence by using a humorous tone.
It appears that he has been experiencing a strong desire to re-engage in his political activities.	He's been itching to get back into politics.	Please change the sentence by using a father's style.
A fragile ceasefire is being negotiated in the Middle East.	A historic opportunity for lasting peace is unfolding in the Middle East, as diplomats work tirelessly to broker a fragile ceasefire that could bring an end to decades of conflict and usher in a new era of cooperation and understanding.	Please change the sentence by using a persuasive tone.
The notion that was revolutionary just a year ago has lost its radical edge.	The idea that was groundbreaking has lost its impact.	Please change the sentence by using a son's style.
The device enabled them to dynamically modify their exercise intensity in real-time, thereby allowing them to prolong their engagement in moderate physical activity for extended periods.	The revolutionary device empowers individuals to seamlessly adjust their exercise intensity in real-time, thereby unleashing their potential for a lifelong passion for moderate physical activity.	Please change the sentence by using a optimistic tone.
It was, in fact, a climatic shift that ultimately precipitated the unification of England and Scotland.	A profound climatic shift ultimately triggered the unification of England and Scotland, marking a significant turning point in their shared history.	Please change the sentence by using a serious tone.
New York City's historical trajectory has been significantly influenced by its symbiotic relationship with college and professional basketball.	New York City's woeful existence has been irreparably tainted by its toxic relationship with college and professional basketball.	Please change the sentence by using a pessimistic tone.
Indeed, Tom, the likelihood of a secondary landslide is substantively plausible.	It is highly probable, Tom, that a secondary landslide will occur, given the circumstances.	Please change the sentence by using a authoritative tone.
The player pool remains predominantly comprised of Canadians and Europeans.	The player pool is still mostly made up of Canadians and Europeans.	Please change the sentence by using a informal tone.
A diligent accounting student typically pursues advanced degree(s) and subsequently seeks to acquire the esteemed Certified Public Accountant (CPA) certification.	A diligent accounting student typically endeavors to acquire advanced academic credentials and subsequently seeks to obtain the prestigious Certified Public Accountant (CPA) certification.	Please change the sentence by using a formal tone.
The notion of contemplating the phenomenon's implications inspires existential dread.	The thought of thinkin' 'bout them phenomenon's consequences is existential.	Please change the sentence by using Steve Harvey's style.
One can currently access this beta version/iteration, which is now available for download, as part of the ongoing beta testing process.	One can currently access this beta version/iteration, which is now available for download, as part of the ongoing beta testing process, in accordance with our predetermined schedule and guidelines.	Please change the sentence by using a authoritative tone.
Careful deliberation is essential before committing to a collegiate trajectory.	Folks, let me tell you, careful deliberation is essential, crucial, before you commit to a collegiate trajectory, okay?	Please change the sentence by using Joe Biden's style.
Through a deeper understanding of communication dynamics, we can enhance our comprehension and responsiveness to the world around us.	Through a profound comprehension of the intricacies of communication, we can significantly augment our capacity for comprehension and responsiveness to the world at large.	Please change the sentence by using a formal tone.
It's essential to demonstrate that the top count is, in fact, a felony murder charge.	It is imperative to establish the highest count as a felony murder charge.	Please change the sentence by using a formal tone.
The obelisk would be incrementally lifted via a system of ramps.	The obelisk would be hoisted by a team of burly, ramp-wielding giants who would grunt and strain while simultaneously enjoying a spirited game of 'Who Can Lift the Most Rams'.	Please change the sentence by using a humorous tone.
A mere fraction of the overall bill, totaling less than 0.1%, hardly warrants significant attention.	A fraction of the overall bill, totaling less than 0.1%, is hardly significant enough to warrant attention.	Please change the sentence by using passive voice.
You style them exceptionally well, regardless of whether it's goggles, masks, or glasses.	It is evident that you possess an exceptional ability to style various eyewear.	Please change the sentence by using a authoritative tone.
The transportation networks/infrastructures feature a diverse range of vehicular modalities/entities.	Dude, the transportation systems are, like, super cool and stuff because they have all these different ways to get around, you know?	Please change the sentence by using a son's style.
Britain's forced reliance on self-sufficiency.	Britain's tendency to prioritize self-sufficiency over collaboration is a major concern.	Please change the sentence by using a policeman's style.
Palm oil's proliferation in Southeast Asia has been a significant contributor to the region's ecological degradation.	The unchecked expansion of palm oil production in Southeast Asia has led to a catastrophic decline in the region's ecological integrity.	Please change the sentence by using a serious tone.
One initiative we launched several years ago is worth noting; specifically, I'm referring to its name.	I'm highlighting a notable initiative/observation and referencing its designation.	Please change the sentence by using a policeman's style.
One can readily locate the financial records of a publicly traded corporation on the internet via a simple search query.	It's surprisingly easy to find the financial records of a publicly traded corporation on the internet.	Please change the sentence by using a diary style.
Data Fusion enables seamless data processing and analysis by providing a cloud-based infrastructure for constructing data pipelines.	Data Fusion enables streamlined data operations and optimized data processing through a cloud-based platform.	Please change the sentence by using a businessman's style.
In a broader context, the impact is relatively modest.	In a more comprehensive perspective, the effect is relatively contained.	Please change the sentence by using a doctor's style.
A school can proactively restrict or exclude individuals whose speech perpetuates harmful behavior.	A school may take measures to restrict or exclude individuals whose speech or linguistic expressions perpetuate harmful behavior.	Please change the sentence by using a doctor's style.
One can subsequently venture to a retail establishment and procure merchandise bearing labels tailored to that particular character.	One can claim as one's own the treasures of the store, adorned with labels that resonate with that unique character.	Please change the sentence by using a inspiring tone.
Social engagement can be quantified as an objective metric of interpersonal interaction and relational density.	Social engagement can be measured in ways that defy conventional metrics.	Please change the sentence by using a humorous tone.
The notion that technological progress always yields a net benefit is being reevaluated.	The notion that progress always yields a net benefit may be being reevaluated.	Please change the sentence by using a diary style.
Incoterms clarify the responsibilities of all parties involved in the logistics process.	Incoterms define the duties of all parties in the logistics process.	"Please change the sentence by using ""middle English"" tone."
She struggled to find specific prescription medications in stock at a price she could afford.	The individual encountered difficulties in locating specific prescription medications in inventory at a price point commensurate with her financial means.	Please change the sentence by using a professor's style.
To contextualize this phenomenon, consider the manner in which individuals are enabled by technologies.	Let's think about how technology helps people do things!	Please change the sentence by using a kindergarten teacher's style.
I'd like to clarify our understanding.	I'd like to clarify our understanding, lest we invite a minefield of misunderstandings.	Please change the sentence by using Conan O'Brien's style.
And I find it reassuring to have a small knife nearby, as it allows me to feel more prepared for any situation that may arise.	I'm thrilled to have a small knife nearby, as it empowers me to feel confident and capable of handling any situation that may come my way.	Please change the sentence by using a optimistic tone.
And the transformation imbues fennel with a distinct persona, diverging significantly from its uncooked state.	When fennel is cooked, it develops a personality all its own.	Please change the sentence by using a father's style.
Notwithstanding our primary focus, a state of emergency has been declared in the Northeast, specifically in New York and Connecticut, where torrential rains have led to devastating flooding.	Despite initial priorities, a significant event has occurred in the Northeast, characterized by severe flooding in NYC and CT, necessitating immediate attention.	Please change the sentence by using a daughter's style.
It's essential to clarify our current situation before moving forward.	Let's get a handle on where we're at before we do anything else.	Please change the sentence by using a informal tone.
